epoch,train_loss,val_loss
1,45.197126106324234,42.88441977754307
2,31.310581598049257,16.701640801729212
3,14.322039829812399,13.61544826525997
4,13.515670314261584,13.002612037935119
5,13.25254392391298,12.715063097396335
6,13.094878965083177,12.90509739935686
7,12.981905690635124,12.847745202013837
8,12.803373327487853,12.676568224810172
9,12.820276274332185,12.51516572288845
10,12.568511365874995,12.448244463418417
11,12.529086472736141,12.18647771411472
12,12.493515993909138,12.058975818652462
13,12.351978003494139,12.246272775861952
14,12.275242159618594,12.052475275048888
15,12.262425529666062,11.908077387418148
16,12.226254900490366,11.87592521381839
17,12.322338552397442,11.939063816254842
18,12.117389821618554,11.959549896958945
19,12.176586175934085,11.885137910428254
20,12.078816722466694,11.948433433753857
21,12.13920895646258,12.006500624228215
22,12.059691612119597,11.879154099358452
23,11.956935356109122,11.724212347021425
24,11.853397604314292,11.650073523682673
25,11.807473544764324,11.577460452554307
26,11.804761379521068,11.622632812186716
27,11.785719688539583,11.52746131685045
