epoch,train_loss,val_loss
1,14.014057228041858,11.278224592623504
2,11.537231432131636,11.011895033472403
3,11.076026965544475,11.465651834644557
4,10.663084923154939,10.37959463181703
5,10.548326330456307,11.200920821387987
6,10.250008786596903,10.21359141725273
7,10.079299000995915,10.535228151054199
8,10.008121386582289,10.452867743473698
9,9.830891699907257,9.878265374524581
10,9.642449832737931,9.76621269373502
11,9.603486286721578,9.666708795920663
12,9.515295761969032,9.573313516695142
13,9.395735549151413,9.457535740258038
14,9.329484081462146,9.989864489882464
15,9.203405945281672,9.361374281454777
16,9.213136293248432,9.192476103271263
17,8.998079518380203,9.283816691182086
18,8.931782554417122,9.082591544026913
19,8.961198128917353,9.400723254047154
20,8.826886872353592,9.547601493084489
21,8.722269364294966,9.361239336539006
22,8.61187460054227,8.849105748577394
23,8.635827968566398,8.977618845764566
24,8.665258631085962,9.75920433698645
25,8.50757517213744,8.93179502464147
26,8.476472418095039,9.09860933287708
27,8.412629965068849,8.871040257854737
28,8.27467855864424,8.78273197763784
29,8.263269550044361,8.701663995134657
30,8.325873066739339,8.921243432063411
31,8.249094644891537,8.881968434306158
32,8.167256487675798,8.911148785393019
33,8.165481519311424,8.820710189100625
34,8.142065878418403,9.068232933104326
35,8.093264092856307,8.9695657785388
36,8.06308868706711,8.811826745093157
37,7.968556529331982,8.730014294241938
38,7.948197592952387,8.720371271101174
39,7.899945983847951,8.632750925810441
40,7.774800784219571,9.96654450605457
41,7.775578315858919,8.69074256984508
42,7.779674816519265,8.423114169047075
43,7.687702140769338,8.700960430546083
44,7.661373191732701,8.503673846019064
45,7.639427646388852,8.64135377648948
46,7.641245781890745,9.146181404878552
47,7.722022844717754,8.653658588151425
48,7.5930685429069085,8.365780471603651
49,7.5048145503532595,8.808659322595826
50,7.554172741300691,8.549013260482013
51,7.4627448824363025,8.424640873779998
52,7.424897547272162,8.404573341498628
53,7.336804649500343,8.689205491024515
54,7.342134677685373,8.442249268149409
55,7.362987434960963,8.475059259916849
56,7.325774400408675,8.671404708986698
57,7.189961996698767,8.419399373773215
58,7.230682359866011,8.417081880108746
59,7.267013243931096,8.899450983978124
60,6.787384984551407,8.034199027047642
61,6.726485658854973,8.290943533902007
62,6.655525217017507,8.204540953544027
63,6.65800161536147,8.136288440169919
64,6.623310070890721,8.232193172265942
65,6.578601938340722,8.240737791222651
66,6.535063440819097,8.282869912575984
67,6.511586884560624,8.210439459137294
68,6.495934257662393,8.139710344554146
69,6.440278739076319,8.210230047000204
70,6.453729117207411,8.076674485552138
71,6.454634937619775,8.2092667725927
