epoch,train_loss,val_loss
1,14.406898496609974,15.694024052452203
2,13.04686423205235,14.884109596511227
3,12.993214303870634,15.505060990252087
4,12.931343661538094,15.729641619639182
5,12.85434167211835,15.341635293097951
6,12.776522311159159,15.040271165981963
7,12.818501506619793,16.05767307808651
8,12.711245943625531,15.094208885077855
9,12.649062996867157,14.659753126115655
10,12.613762592387818,14.824856263309268
11,12.564005921862757,13.682294610756726
12,12.544984085023835,14.422158530010051
13,12.526803688247103,13.740752683812051
14,12.512050876807923,13.853134052238273
15,12.502522381629733,14.382478872136256
16,12.49155587629212,13.7495351664385
17,12.540013118140807,14.593892570716053
18,12.440192815145938,14.108304631170915
19,12.42336961192574,14.823417459900055
