epoch,train_loss,val_loss
1,37.47816604442811,37.22360407511393
2,29.110717880591917,14.708332284291584
3,16.952852892072013,13.953340180714925
4,15.225112947185387,15.103092511494955
5,14.54401970981212,14.151890134811401
6,13.866032509321577,22.721094195048014
7,13.492949276827694,13.53825421333313
8,13.093452951881323,13.13080031077067
9,12.49390196532346,12.97479346593221
10,12.244678074054503,12.776262617111206
11,12.176448034436515,12.540978399912516
12,11.880246414227432,12.455706532796224
13,11.98873983876089,12.322891680399577
14,11.519556972417938,12.68274663289388
15,11.478980691245432,12.359946060180665
16,11.372408759727907,11.983111349741618
17,11.20090236556664,12.105653842290243
18,11.200256792347083,12.158808628718058
19,11.002802361263319,12.02457135518392
20,10.856213628576043,12.777315839131672
21,10.88951423730743,12.448914829889933
22,10.894820556212007,11.83970742225647
23,10.6933613252104,12.014085404078166
24,10.319956479447612,11.497199233373006
25,10.156620438179273,12.097862672805785
26,10.219882745421335,11.90344033241272
